dt,Цена на арматуру
05.01.2015,32900
12.01.2015,32500
19.01.2015,32000
26.01.2015,30700
02.02.2015,30300
09.02.2015,30300
16.02.2015,30100
23.02.2015,29400
02.03.2015,29200
09.03.2015,29000
16.03.2015,28700
23.03.2015,27800
30.03.2015,27200
06.04.2015,26600
13.04.2015,25700
20.04.2015,24800
27.04.2015,24700
04.05.2015,24300
11.05.2015,23900
18.05.2015,24000
25.05.2015,23700
01.06.2015,23500
08.06.2015,23800
15.06.2015,24400
22.06.2015,25000
29.06.2015,25300
06.07.2015,25500
13.07.2015,25500
20.07.2015,25400
27.07.2015,25200
03.08.2015,25000
10.08.2015,24700
17.08.2015,24400
24.08.2015,24100
31.08.2015,24100
07.09.2015,23900
14.09.2015,24200
21.09.2015,24200
28.09.2015,24000
05.10.2015,24000
12.10.2015,23800
19.10.2015,23800
26.10.2015,24200
02.11.2015,24500
09.11.2015,24500
16.11.2015,23950
23.11.2015,23750
30.11.2015,23100
07.12.2015,22800
14.12.2015,22000
21.12.2015,21700
28.12.2015,21300
04.01.2016,21300
11.01.2016,21300
18.01.2016,21200
25.01.2016,21000
01.02.2016,21000
08.02.2016,21000
15.02.2016,21200
22.02.2016,21800
29.02.2016,22450
07.03.2016,23300
14.03.2016,23800
21.03.2016,25500
28.03.2016,26700
04.04.2016,29900
11.04.2016,29950
18.04.2016,31500
25.04.2016,31900
02.05.2016,40300
09.05.2016,43500
16.05.2016,43350
23.05.2016,42950
30.05.2016,42000
06.06.2016,38300
13.06.2016,37500
20.06.2016,36800
27.06.2016,35400
04.07.2016,34400
11.07.2016,33400
18.07.2016,32500
25.07.2016,32000
01.08.2016,31000
08.08.2016,30200
15.08.2016,29200
22.08.2016,28850
29.08.2016,28700
05.09.2016,28500
12.09.2016,30000
19.09.2016,32000
26.09.2016,32500
03.10.2016,33300
10.10.2016,34300
17.10.2016,33700
24.10.2016,32200
31.10.2016,30400
07.11.2016,30200
14.11.2016,29800
21.11.2016,33500
28.11.2016,33500
05.12.2016,33500
12.12.2016,33500
19.12.2016,33000
26.12.2016,32500
02.01.2017,33750
09.01.2017,33750
16.01.2017,33750
23.01.2017,33750
30.01.2017,33000
06.02.2017,32600
13.02.2017,32000
20.02.2017,31300
27.02.2017,30300
06.03.2017,30500
13.03.2017,30700
20.03.2017,30600
27.03.2017,30400
03.04.2017,29800
10.04.2017,29500
17.04.2017,28200
24.04.2017,27500
01.05.2017,26500
08.05.2017,26300
15.05.2017,26300
22.05.2017,26200
29.05.2017,26150
05.06.2017,26150
12.06.2017,26150
19.06.2017,26350
26.06.2017,26550
03.07.2017,26650
10.07.2017,28000
17.07.2017,28800
24.07.2017,29400
31.07.2017,29400
07.08.2017,30900
14.08.2017,33900
21.08.2017,35900
28.08.2017,36800
04.09.2017,38600
11.09.2017,39600
18.09.2017,38800
25.09.2017,38800
02.10.2017,37500
09.10.2017,37000
16.10.2017,35800
23.10.2017,33800
30.10.2017,31500
06.11.2017,30000
13.11.2017,32500
20.11.2017,32500
27.11.2017,32000
04.12.2017,31500
11.12.2017,31700
18.12.2017,31800
25.12.2017,34600
01.01.2018,35600
08.01.2018,35600
15.01.2018,35600
22.01.2018,35300
29.01.2018,34500
05.02.2018,33700
12.02.2018,34000
19.02.2018,33900
26.02.2018,32700
05.03.2018,32900
12.03.2018,33300
19.03.2018,33600
26.03.2018,34800
02.04.2018,36100
09.04.2018,36100
16.04.2018,35900
23.04.2018,35900
30.04.2018,36400
07.05.2018,37900
14.05.2018,37700
21.05.2018,37900
28.05.2018,37900
04.06.2018,37600
11.06.2018,37400
18.06.2018,37400
25.06.2018,37100
02.07.2018,37100
09.07.2018,37200
16.07.2018,37800
23.07.2018,37500
30.07.2018,37500
06.08.2018,39400
13.08.2018,39650
20.08.2018,40750
27.08.2018,43100
03.09.2018,48700
10.09.2018,48850
17.09.2018,48350
24.09.2018,44600
01.10.2018,42600
08.10.2018,41500
15.10.2018,40800
22.10.2018,39700
29.10.2018,39500
05.11.2018,38800
12.11.2018,38300
19.11.2018,38000
26.11.2018,37600
03.12.2018,37600
10.12.2018,37300
17.12.2018,37000
24.12.2018,36700
31.12.2018,36000
07.01.2019,36000
14.01.2019,35700
21.01.2019,35300
28.01.2019,34000
04.02.2019,33800
11.02.2019,34550
18.02.2019,36000
25.02.2019,37700
04.03.2019,40200
11.03.2019,40200
18.03.2019,39900
25.03.2019,39400
01.04.2019,39300
08.04.2019,39500
15.04.2019,39500
22.04.2019,39300
29.04.2019,39300
06.05.2019,39300
13.05.2019,40300
20.05.2019,40000
27.05.2019,40200
03.06.2019,40200
10.06.2019,40300
17.06.2019,41500
24.06.2019,40500
01.07.2019,40500
08.07.2019,40300
15.07.2019,39800
22.07.2019,39800
29.07.2019,40200
05.08.2019,40300
12.08.2019,39200
19.08.2019,38700
26.08.2019,38200
02.09.2019,37700
09.09.2019,36900
16.09.2019,36200
23.09.2019,35000
30.09.2019,34200
07.10.2019,33500
14.10.2019,33300
21.10.2019,33500
28.10.2019,33300
04.11.2019,33800
11.11.2019,33500
18.11.2019,32300
25.11.2019,32200
02.12.2019,31800
09.12.2019,31100
16.12.2019,30600
23.12.2019,31400
30.12.2019,32900
06.01.2020,32900
13.01.2020,33400
20.01.2020,32500
27.01.2020,32890
03.02.2020,33400
10.02.2020,32800
17.02.2020,32000
24.02.2020,31500
02.03.2020,32500
09.03.2020,33500
16.03.2020,34000
23.03.2020,35000
30.03.2020,35000
06.04.2020,34500
13.04.2020,34000
20.04.2020,33500
27.04.2020,33500
04.05.2020,33500
11.05.2020,33500
18.05.2020,33500
25.05.2020,33500
01.06.2020,33000
08.06.2020,33000
15.06.2020,33000
22.06.2020,33700
29.06.2020,34500
06.07.2020,34500
13.07.2020,35000
20.07.2020,35000
27.07.2020,35100
03.08.2020,35100
10.08.2020,35200
17.08.2020,35500
24.08.2020,36500
31.08.2020,37200
07.09.2020,37500
14.09.2020,37500
21.09.2020,38000
28.09.2020,38500
05.10.2020,39500
12.10.2020,40000
19.10.2020,39500
26.10.2020,39500
02.11.2020,39500
09.11.2020,39500
16.11.2020,39500
23.11.2020,39500
30.11.2020,41500
07.12.2020,42500
14.12.2020,51000
21.12.2020,58000
28.12.2020,61000
04.01.2021,61000
11.01.2021,61000
18.01.2021,62000
25.01.2021,62000
01.02.2021,59000
08.02.2021,55000
15.02.2021,51500
22.02.2021,48500
01.03.2021,48000
08.03.2021,49000
15.03.2021,50500
22.03.2021,50800
29.03.2021,51500
05.04.2021,53500
12.04.2021,54500
19.04.2021,58500
26.04.2021,60500
03.05.2021,62500
10.05.2021,63500
17.05.2021,67000
24.05.2021,71900
31.05.2021,71900
07.06.2021,72500
14.06.2021,74000
21.06.2021,74000
28.06.2021,74000
05.07.2021,74000
12.07.2021,73500
19.07.2021,72500
26.07.2021,71500
02.08.2021,69500
09.08.2021,66000
16.08.2021,65000
23.08.2021,63500
30.08.2021,62000
06.09.2021,59000
13.09.2021,56500
20.09.2021,55000
27.09.2021,54000
04.10.2021,56800
11.10.2021,59000
18.10.2021,64000
25.10.2021,73000
01.11.2021,77000
08.11.2021,79000
15.11.2021,78000
22.11.2021,72500
29.11.2021,64000
06.12.2021,61500
13.12.2021,60500
20.12.2021,61500
27.12.2021,62500
03.01.2022,63500
10.01.2022,63500
17.01.2022,63700
24.01.2022,62500
31.01.2022,62900
07.02.2022,65000
14.02.2022,65500
21.02.2022,69000
28.02.2022,78000
07.03.2022,77000
14.03.2022,74000
21.03.2022,67000
28.03.2022,69500
04.04.2022,69500
11.04.2022,67500
18.04.2022,64000
25.04.2022,61500
02.05.2022,58000
09.05.2022,56000
16.05.2022,54000
23.05.2022,50000
30.05.2022,46000
06.06.2022,43500
13.06.2022,42000
20.06.2022,43000
27.06.2022,44000
04.07.2022,45000
11.07.2022,45500
18.07.2022,47000
25.07.2022,47500
01.08.2022,47500
08.08.2022,49000
15.08.2022,47500
22.08.2022,46500
29.08.2022,46000
