Date,"Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Чугун_CFR Турция, $/т",Цена на арматуру
2015-01-05,12344.0,12728.0,11573.0,11870.0,11598.0,297.5,32900.0
2015-01-12,12344.0,12728.0,11573.0,11870.0,11598.0,297.5,32500.0
2015-01-19,12344.0,12728.0,11573.0,11870.0,11598.0,297.5,32000.0
2015-01-26,12344.0,12728.0,11573.0,11870.0,11598.0,297.5,30700.0
2015-02-02,12344.0,12728.0,11573.0,11870.0,11598.0,297.5,30300.0
2015-02-09,12344.0,12728.0,11573.0,11870.0,11598.0,297.5,30300.0
2015-02-16,12271.0,12852.0,11746.0,12088.0,11794.0,297.5,30100.0
2015-02-23,12645.0,13034.0,11930.0,12503.0,12047.0,297.5,29400.0
2015-03-02,12696.0,12910.0,12100.0,12439.0,12253.0,297.5,29200.0
2015-03-09,12916.0,12964.0,11774.0,12020.0,12183.0,297.5,29000.0
2015-03-16,12883.0,12812.0,11733.0,12093.0,12140.0,297.5,28700.0
2015-03-23,12753.0,12694.0,11540.0,11763.0,12139.0,297.5,27800.0
2015-03-30,12521.0,12569.0,11579.0,11719.0,12113.0,297.5,27200.0
2015-04-06,12395.0,12421.0,11378.0,11250.0,12369.0,297.5,26600.0
2015-04-13,12220.0,12146.0,11056.0,11327.0,12324.0,297.5,25700.0
2015-04-20,11830.0,11716.0,10613.0,10555.0,12109.0,297.5,24800.0
2015-04-27,11083.0,11035.0,10456.0,10066.0,11705.0,297.5,24700.0
2015-05-04,10714.0,10865.0,9996.0,9758.0,10970.0,297.5,24300.0
2015-05-11,10558.0,10463.0,9371.0,9432.0,10589.0,297.5,23900.0
2015-05-18,10269.0,10454.0,9234.0,9386.0,10539.0,297.5,24000.0
2015-05-25,10042.0,10315.0,8990.0,9290.0,10383.0,297.5,23700.0
2015-06-01,10075.0,10333.0,8704.0,9299.0,10210.0,297.5,23500.0
2015-06-08,10485.0,10268.0,8833.0,9318.0,10158.0,297.5,23800.0
2015-06-15,10468.0,10225.0,8812.0,9319.0,10156.0,297.5,24400.0
2015-06-22,10488.0,10232.0,8867.0,9334.0,10122.0,297.5,25000.0
2015-06-29,10482.0,10245.0,8818.0,9432.0,10099.0,297.5,25300.0
2015-07-06,10605.0,10417.0,8877.0,9599.0,10115.0,297.5,25500.0
2015-07-13,10791.0,10682.0,8963.0,9943.0,10072.0,297.5,25500.0
2015-07-20,10867.0,10880.0,8993.0,10141.0,10014.0,297.5,25400.0
2015-07-27,10996.0,10883.0,8939.0,10141.0,10013.0,297.5,25200.0
2015-08-03,11068.0,10838.0,8830.0,10143.0,9974.0,297.5,25000.0
2015-08-10,11059.0,10840.0,8770.0,10087.0,9934.0,297.5,24700.0
2015-08-17,11078.0,10823.0,8755.0,10106.0,9960.0,297.5,24400.0
2015-08-24,11010.0,10853.0,8795.0,10137.0,9953.0,297.5,24100.0
2015-08-31,11044.0,10841.0,8862.0,10178.0,10004.0,297.5,24100.0
2015-09-07,11159.0,10961.0,8939.0,10233.0,10232.0,297.5,23900.0
2015-09-14,11210.0,10946.0,8923.0,10212.0,10374.0,297.5,24200.0
2015-09-21,11237.0,10949.0,8887.0,10201.0,10411.0,297.5,24200.0
2015-09-28,11367.0,10718.0,8969.0,10024.0,10458.0,297.5,24000.0
2015-10-05,11357.0,10670.0,9209.0,10043.0,10474.0,297.5,24000.0
2015-10-12,11310.0,10531.0,9382.0,9928.0,10552.0,297.5,23800.0
2015-10-19,11182.0,10400.0,9316.0,9746.0,10620.0,297.5,23800.0
2015-10-26,11052.0,10384.0,9354.0,9679.0,10652.0,297.5,24200.0
2015-11-02,10624.0,10008.0,9444.0,9242.0,10625.0,297.5,24500.0
2015-11-09,10529.0,9850.0,9236.0,8991.0,10437.0,297.5,24500.0
2015-11-16,10142.0,9541.0,9053.0,8618.0,10356.0,297.5,23950.0
2015-11-23,9428.0,9154.0,8416.0,8259.0,9808.0,297.5,23750.0
2015-11-30,9133.0,9052.0,8036.0,8160.0,9381.0,297.5,23100.0
2015-12-07,9103.0,9138.0,8002.0,8112.0,9350.0,297.5,22800.0
2015-12-14,9143.0,9142.0,8067.0,8115.0,9326.0,297.5,22000.0
2015-12-21,9268.0,9135.0,7813.0,8050.0,8888.0,297.5,21700.0
2015-12-28,9337.0,9116.0,7638.0,8064.0,8934.0,297.5,21300.0
2016-01-04,9332.0,9095.0,7554.0,8067.0,8973.0,297.5,21300.0
2016-01-11,9428.0,9221.0,7439.0,7826.0,8963.0,297.5,21300.0
2016-01-18,9240.0,9089.0,7538.0,8090.0,8981.0,297.5,21200.0
2016-01-25,9272.0,9126.0,7649.0,8176.0,9023.0,297.5,21000.0
2016-02-01,9339.0,9231.0,7650.0,8247.0,9067.0,297.5,21000.0
2016-02-08,9249.0,9428.0,7916.0,8366.0,9011.0,297.5,21000.0
2016-02-15,9442.0,9540.0,8037.0,8502.0,9224.0,297.5,21200.0
2016-02-22,9335.0,9664.0,8163.0,8603.0,9232.0,297.5,21800.0
2016-02-29,9408.0,9745.0,8007.0,8729.0,9276.0,297.5,22450.0
2016-03-07,9437.0,9724.0,7993.0,8760.0,9373.0,297.5,23300.0
2016-03-14,9887.0,9729.0,8604.0,9023.0,9501.0,297.5,23800.0
2016-03-21,9933.0,10195.0,8865.0,9462.0,9711.0,297.5,25500.0
2016-03-28,9990.0,10444.0,8942.0,9745.0,9836.0,297.5,26700.0
2016-04-04,9901.0,10595.0,9096.0,9847.0,9847.0,297.5,29900.0
2016-04-11,10292.0,10673.0,9097.0,9857.0,10284.0,297.5,29950.0
2016-04-18,10153.0,10732.0,9268.0,9924.0,10461.0,297.5,31500.0
2016-04-25,10120.0,11019.0,9717.0,10402.0,10579.0,297.5,31900.0
2016-05-02,10471.0,11567.0,10325.0,10849.0,10763.0,297.5,40300.0
2016-05-09,11395.0,11860.0,10585.0,11034.0,10978.0,297.5,43500.0
2016-05-16,12611.0,12128.0,10986.0,11282.0,11980.0,297.5,43350.0
2016-05-23,12380.0,12196.0,11022.0,11403.0,12248.0,297.5,42950.0
2016-05-30,12420.0,12443.0,11457.0,11810.0,12613.0,297.5,42000.0
2016-06-06,12587.0,12890.0,11276.0,11984.0,12801.0,297.5,38300.0
2016-06-13,12587.0,12802.0,11296.0,11884.0,12570.0,297.5,37500.0
2016-06-20,12827.0,12540.0,11213.0,11643.0,12311.0,297.5,36800.0
2016-06-27,12750.0,12171.0,11015.0,11323.0,12160.0,297.5,35400.0
2016-07-04,12157.0,12045.0,10216.0,10824.0,11178.0,297.5,34400.0
2016-07-11,11872.0,11352.0,9895.0,10444.0,11159.0,297.5,33400.0
2016-07-18,11488.0,11350.0,9705.0,10419.0,11023.0,297.5,32500.0
2016-07-25,11392.0,11269.0,9524.0,10193.0,11030.0,297.5,32000.0
2016-08-01,11309.0,11248.0,9532.0,10197.0,10479.0,297.5,31000.0
2016-08-08,11239.0,11230.0,9593.0,10411.0,10607.0,297.5,30200.0
2016-08-15,11354.0,11421.0,9971.0,10515.0,10802.0,297.5,29200.0
2016-08-22,11519.0,11509.0,10190.0,10607.0,10858.0,297.5,28850.0
2016-08-29,11484.0,11664.0,10287.0,10750.0,11265.0,297.5,28700.0
2016-09-05,11336.0,11876.0,10344.0,11036.0,11689.0,297.5,28500.0
2016-09-12,11512.0,12191.0,10542.0,11352.0,12011.0,297.5,30000.0
2016-09-19,11489.0,12420.0,10720.0,11495.0,12257.0,297.5,32000.0
2016-09-26,11403.0,12568.0,10937.0,11623.0,12321.0,297.5,32500.0
2016-10-03,11612.0,12591.0,11062.0,11721.0,12279.0,297.5,33300.0
2016-10-10,12954.0,13005.0,11807.0,12201.0,13247.0,297.5,34300.0
2016-10-17,12869.0,13017.0,11839.0,12182.0,13132.0,297.5,33700.0
2016-10-24,12672.0,12976.0,11878.0,12203.0,13125.0,297.5,32200.0
2016-10-31,12716.0,12682.0,11589.0,11917.0,12621.0,297.5,30400.0
2016-11-07,12660.0,12548.0,11729.0,11819.0,12713.0,297.5,30200.0
2016-11-14,12564.0,12483.0,11742.0,11800.0,12866.0,297.5,29800.0
2016-11-21,12917.0,12729.0,11858.0,12108.0,12932.0,297.5,33500.0
2016-11-28,13434.0,13377.0,12196.0,12556.0,13254.0,297.5,33500.0
2016-12-05,13500.0,13950.0,12873.0,13021.0,13702.0,297.5,33500.0
2016-12-12,14417.0,14492.0,13335.0,13600.0,14300.0,297.5,33500.0
2016-12-19,15094.0,15385.0,14171.0,14403.0,14942.0,297.5,33000.0
2016-12-26,15561.0,15869.0,14354.0,14969.0,15269.0,297.5,32500.0
2017-01-02,16085.0,15878.0,14467.0,15046.0,15323.0,297.5,33750.0
2017-01-09,15579.0,15705.0,14420.0,15038.0,15322.0,297.5,33750.0
2017-01-16,16093.0,15861.0,14583.0,15072.0,15312.0,297.5,33750.0
2017-01-23,15659.0,15838.0,14478.0,14887.0,15315.0,297.5,33750.0
2017-01-30,15439.0,15868.0,14480.0,14812.0,15328.0,297.5,33000.0
2017-02-06,15233.0,15642.0,14685.0,14607.0,15303.0,297.5,32600.0
2017-02-13,14945.0,15229.0,14280.0,14201.0,15412.0,297.5,32000.0
2017-02-20,14799.0,14854.0,14234.0,13780.0,15315.0,315.0,31300.0
2017-02-27,14729.0,14506.0,13702.0,13357.0,14552.0,343.0,30300.0
2017-03-06,14708.0,14184.0,12842.0,13070.0,13624.0,362.5,30500.0
2017-03-13,14310.0,13438.0,12538.0,12744.0,13321.0,362.5,30700.0
2017-03-20,14112.0,13515.0,12330.0,12395.0,13198.0,398.5,30600.0
2017-03-27,13877.0,13479.0,12385.0,12440.0,13263.0,387.5,30400.0
2017-04-03,13792.0,13477.0,12348.0,12408.0,13316.0,367.5,29800.0
2017-04-10,13543.0,13400.0,12384.0,12281.0,13269.0,362.5,29500.0
2017-04-17,13631.0,13392.0,12310.0,12245.0,13199.0,362.5,28200.0
2017-04-24,13731.0,13268.0,12225.0,12192.0,13215.0,362.5,27500.0
2017-05-01,13742.0,13298.0,12235.0,12230.0,13174.0,342.5,26500.0
