Date,"Лом_HMS 1/2 80:20, FOB EC Роттердам, $/т","Лом_3А, РФ CPT ж/д Южный ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Сибирский ФО, руб./т, без НДС","Лом_3А, РФ CPT ж/д Центральный ФО, руб./т, без НДС","ЖРС_Китай Iron ore fines Fe 62%, CFR","Чугун_CFR Италия, $/т","ЖРС_Российские окатыши Fe 62-65,5%, SiO2 5,8-8,65, DAP Забайкальск-Манжули, $/т","Лом_HMS 1/2 80:20, FOB США Восток, $/т","Лом_3А, FOB РФ Черное море, $/т","Чугун_FOB Бразилия Север, $/т","Лом_HMS 1/2 80:20, CFR ЮВА, $/т","Лом_3А, РФ FCA ж/д респ. Татарстан, руб./т, без НДС","Лом_3А, РФ FCA ж/д Московский регион, руб./т, без НДС","Чугун_FOB Россия Черное море, $/т","ЖРС_Россия концентрат Fe 64-68%, FCA руб./т, без НДС","Чугун_Россия, FCA руб./т, без НДС","ЖРС_Россия окатыши Fe 62-65,5% FCA руб./т, без НДС","ГБЖ_CFR Италия, $/т","Лом_3А, РФ CPT ж/д Уральский ФО, руб./т, без НДС","Лом_HMS 1/2 80:20, CFR Турция, $/т","Чугун_CFR NOLA США, $/т","Чугун_CFR Турция, $/т","ЖРС_Средневзвешенная цена окатыши Fe 62-65,5%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена концентрат Fe 64-68%, Россия FCA руб./т, без НДС","ЖРС_Средневзвешенная цена за 1 % Fe в аглоруде, Россия FCA руб./т, без НДС",Цена на арматуру
2015-01-05,228.0,12344.0,10009.0,12728.0,62.0,285.5,70.0,221.0,221.0,338.0,248.0,11573.0,11870.0,297.0,2275.0,21250.0,3450.0,249.5,11598.0,246.0,312.0,297.5,3540.0,2097.0,23.0,32900.0
2015-01-12,228.0,12344.0,10009.0,12728.0,62.0,285.5,70.0,221.0,221.0,338.0,248.0,11573.0,11870.0,297.0,2275.0,21250.0,3450.0,249.5,11598.0,246.0,312.0,297.5,3540.0,2097.0,23.0,32500.0
2015-01-19,228.0,12344.0,10009.0,12728.0,62.0,285.5,70.0,221.0,221.0,338.0,248.0,11573.0,11870.0,297.0,2275.0,21250.0,3450.0,249.5,11598.0,246.0,312.0,297.5,3540.0,2097.0,23.0,32000.0
2015-01-26,228.0,12344.0,10009.0,12728.0,62.0,285.5,70.0,221.0,221.0,338.0,248.0,11573.0,11870.0,297.0,2275.0,21250.0,3450.0,249.5,11598.0,246.0,312.0,297.5,3540.0,2097.0,23.0,30700.0
2015-02-02,228.0,12344.0,10009.0,12728.0,62.0,285.5,70.0,221.0,221.0,338.0,248.0,11573.0,11870.0,297.0,2275.0,21250.0,3450.0,249.5,11598.0,246.0,312.0,297.5,3540.0,2097.0,23.0,30300.0
2015-02-09,228.0,12344.0,10009.0,12728.0,62.0,285.5,70.0,221.0,221.0,338.0,248.0,11573.0,11870.0,297.0,2275.0,21250.0,3450.0,249.5,11598.0,246.0,312.0,297.5,3540.0,2097.0,23.0,30300.0
2015-02-16,206.0,12271.0,10432.0,12852.0,63.0,285.5,70.0,221.0,213.0,308.0,248.0,11746.0,12088.0,278.0,2275.0,21250.0,3450.0,249.5,11794.0,243.0,312.0,297.5,3540.0,2097.0,23.0,30100.0
2015-02-23,207.0,12645.0,11981.0,13034.0,64.0,285.5,72.0,215.0,208.0,295.0,248.0,11930.0,12503.0,265.0,2275.0,21250.0,3450.0,249.5,12047.0,241.0,312.0,297.5,3540.0,2097.0,23.0,29400.0
2015-03-02,214.0,12696.0,11912.0,12910.0,63.0,285.5,72.0,224.0,215.0,295.0,248.0,12100.0,12439.0,265.0,2275.0,21250.0,3450.0,249.5,12253.0,249.0,312.0,297.5,3540.0,2097.0,23.0,29200.0
2015-03-09,232.0,12916.0,12061.0,12964.0,61.0,285.5,70.0,229.0,221.0,275.0,248.0,11774.0,12020.0,265.0,2425.0,15250.0,3500.0,249.5,12183.0,257.0,312.0,297.5,3540.0,2097.0,23.0,29000.0
2015-03-16,229.0,12883.0,11893.0,12812.0,58.0,285.5,67.0,231.0,223.0,265.0,248.0,11733.0,12093.0,263.0,2425.0,15250.0,3500.0,249.5,12140.0,256.0,312.0,297.5,3540.0,2097.0,23.0,28700.0
2015-03-23,230.0,12753.0,11945.0,12694.0,56.0,285.5,65.0,230.0,220.0,263.0,253.0,11540.0,11763.0,263.0,2425.0,15250.0,3500.0,249.5,12139.0,254.0,312.0,297.5,3540.0,2097.0,23.0,27800.0
2015-03-30,231.0,12521.0,11853.0,12569.0,55.0,285.5,63.5,233.0,221.0,269.0,254.0,11579.0,11719.0,261.0,2425.0,15250.0,3500.0,249.5,12113.0,256.0,312.0,297.5,3601.0,2322.0,23.0,27200.0
2015-04-06,235.0,12395.0,11785.0,12421.0,50.0,285.5,58.0,236.0,229.0,265.0,258.0,11378.0,11250.0,264.0,2175.0,13250.0,3200.0,249.5,12369.0,262.0,312.0,297.5,3601.0,2322.0,23.0,26600.0
2015-04-13,238.0,12220.0,11327.0,12146.0,48.0,285.5,57.5,236.0,229.0,265.0,258.0,11056.0,11327.0,260.0,2175.0,13250.0,3200.0,249.5,12324.0,263.0,312.0,297.5,3601.0,2322.0,23.0,25700.0
2015-04-20,245.0,11830.0,11050.0,11716.0,50.0,285.5,58.5,241.0,238.0,265.0,258.0,10613.0,10555.0,260.0,2175.0,13250.0,3200.0,249.5,12109.0,267.0,312.0,297.5,3601.0,2322.0,23.0,24800.0
2015-04-27,250.0,11083.0,11091.0,11035.0,54.0,285.5,61.0,248.0,243.0,270.0,258.0,10456.0,10066.0,264.0,2175.0,13250.0,3200.0,249.5,11705.0,274.0,312.0,297.5,3601.0,2322.0,23.0,24700.0
2015-05-04,251.0,10714.0,11167.0,10865.0,58.0,285.5,62.5,249.0,244.0,265.0,258.0,9996.0,9758.0,263.0,2175.0,13250.0,3200.0,249.5,10970.0,276.0,312.0,297.5,3376.0,2192.0,23.0,24300.0
2015-05-11,259.0,10558.0,11270.0,10463.0,60.0,285.5,64.0,257.0,252.0,263.0,260.0,9371.0,9432.0,270.0,1750.0,12750.0,2600.0,249.5,10589.0,285.0,312.0,297.5,3376.0,2192.0,23.0,23900.0
